similarity,item_num_1,item_name_1,item_num_2,item_name_2
1.0,1,STOOL,1,STOOL
0.28590035,2,THRONE,1,STOOL
-0.030812569,3,SKY,1,STOOL
0.14053655,4,SPOUSE,1,STOOL
0.16968013,5,CRANE,1,STOOL
0.08215873,6,SHIELD,1,STOOL
0.19244683,7,DRINK,1,STOOL
0.14443824,8,FOOD,1,STOOL
0.012162713,9,ZOO,1,STOOL
0.020964533,10,JAIL,1,STOOL
0.19917908,11,LOFT,1,STOOL
0.20317526,12,BARN,1,STOOL
0.07649569,13,BOMB,1,STOOL
0.24480118,14,GLOVE,1,STOOL
0.12723918,15,LACE,1,STOOL
0.09181403,16,BOWL,1,STOOL
0.20035607,17,SPHINX,1,STOOL
0.11721197,18,PASTE,1,STOOL
0.06929183,19,GOLD,1,STOOL
0.16725203,20,LINT,1,STOOL
0.19679381,21,ROD,1,STOOL
0.22432464,22,RIB,1,STOOL
0.14831473,23,PIT,1,STOOL
0.39024174,24,STAIR,1,STOOL
0.16086279,25,GROUND,1,STOOL
0.34794903,26,FLASK,1,STOOL
0.1339132,27,SCOTCH,1,STOOL
0.08125296,28,STEM,1,STOOL
0.12137081,29,HEDGE,1,STOOL
0.0142123485,30,GEESE,1,STOOL
0.086752236,31,BADGE,1,STOOL
0.123521544,32,WASP,1,STOOL
0.16311711,33,DOCK,1,STOOL
0.2228274,34,CUP,1,STOOL
0.23356879,35,WAND,1,STOOL
0.34924304,36,TRAY,1,STOOL
0.009821285,37,DITCH,1,STOOL
0.12551014,38,MOLE,1,STOOL
0.081900686,39,TRENCH,1,STOOL
0.2503823,40,PALM,1,STOOL
0.12723136,41,KITE,1,STOOL
0.1761298,42,TENT,1,STOOL
0.023968896,43,ROAD,1,STOOL
0.41508415,44,MAT,1,STOOL
0.07591888,45,JET,1,STOOL
0.14164625,46,ELF,1,STOOL
0.039116118,47,SUN,1,STOOL
0.10278516,48,BROOK,1,STOOL
0.110898614,49,STEAK,1,STOOL
0.088673025,50,BEAST,1,STOOL
0.054373756,51,FORT,1,STOOL
0.02544624,52,WORLD,1,STOOL
0.05245157,53,LODGE,1,STOOL
0.2160888,54,MULE,1,STOOL
0.073863596,55,FLAG,1,STOOL
0.27061272,56,CORD,1,STOOL
0.24081425,57,CHEST,1,STOOL
0.10121693,58,FARM,1,STOOL
0.28638524,59,SHOE,1,STOOL
0.1781505,60,BRICK,1,STOOL
0.087896094,61,WORM,1,STOOL
0.20801316,62,BLADE,1,STOOL
0.05386217,63,BRIDGE,1,STOOL
0.087958336,64,LAND,1,STOOL
0.13543689,65,SMILE,1,STOOL
0.32833806,66,CART,1,STOOL
0.28175223,67,CRIB,1,STOOL
0.034754,68,SALT,1,STOOL
0.16396227,69,SHEET,1,STOOL
0.1802352,70,YOLK,1,STOOL
0.10008679,71,MOOSE,1,STOOL
0.17020309,72,SOUP,1,STOOL
0.12157516,73,FRUIT,1,STOOL
-0.026696429,74,STAKE,1,STOOL
0.06432931,75,POND,1,STOOL
0.18397,76,SOAP,1,STOOL
0.05321711,77,KEY,1,STOOL
0.0635126,78,COOK,1,STOOL
0.026426714,79,BRANCH,1,STOOL
0.11862161,80,VEST,1,STOOL
0.22687697,81,GLASS,1,STOOL
0.09858773,82,SHARK,1,STOOL
0.17830637,83,CLIFF,1,STOOL
0.041114792,84,TIE,1,STOOL
0.23578742,85,STRAW,1,STOOL
